centerX_1,centerY_1,width_1,height_1,angle_1,area_1
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,405.0,117.0,88.0,0.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,405.5,117.0,89.0,0.0,10413.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.0,406.0,88.0,116.0,90.0,10208.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,405.5,117.0,89.0,0.0,10413.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,405.5,117.0,89.0,0.0,10413.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,405.5,87.0,117.0,90.0,10179.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,406.0,88.0,117.0,90.0,10296.0
296.5,405.5,87.0,117.0,90.0,10179.0
296.5,405.5,87.0,117.0,90.0,10179.0
296.5,405.5,87.0,117.0,90.0,10179.0
296.5,405.0,88.0,117.0,90.0,10296.0
296.0,405.5,87.0,116.0,90.0,10092.0
296.5,405.5,87.0,117.0,90.0,10179.0
296.5,405.0,117.0,88.0,0.0,10296.0
296.5,405.5,87.0,117.0,90.0,10179.0
296.5,405.0,88.0,117.0,90.0,10296.0
